StreamID,CentroidX,CentroidY,Source,TreatmentName,BiomassUtilized,TreatmentStatus,FundedProjectName,TreatmentCategory,PendingStateReview,FederalGrantProgram,ActualCompletionDate,FederalFundingAmount,FederalGrantFiscalYear,TreatmentAcresReported,TreatmentIdentifierDatabase,LeveragedByIndirectFederalFunding
b4de1ef8-eb47-43fa-9461-f79a5af7452c,-11.95992537,20.40148691,Idaho,,No,Completed,,Chemical,2,USFS SFC,1.54104E+12,1675.80757,2016,2.65579646630964,683b8420-09e9-4315-b874-2eb8aab25889,0
c350c8c8-bcae-41af-864f-e4680859032b,-14.75765987,25.814432,Washington,,Yes,Completed,,Other,2,USFS SFC,1.52152E+12,144055,2015,235,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
3b31afd8-6cae-438a-9d46-bbb8d5bac2b5,-14.75765987,25.814432,Washington,,Yes,Completed,,Other,2,Unknown,1.65872E+12,287170,2021,235,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
6224ab54-da08-47a6-8066-139d6b943418,-10.96759017,21.79610958,Idaho,,Yes,Completed,,Chemical,2,Cross Boundary,1.52981E+12,1089.595262,2014,1.04668132790077,683b8420-09e9-4315-b874-2eb8aab25889,0
da4fd646-b025-48fb-b197-05642099c2ad,-13.86223384,26.15568405,Idaho,,Yes,Completed,,Other,2,SFC - Mitigation,1.63851E+12,445.9144794,2018,0.833485008170532,683b8420-09e9-4315-b874-2eb8aab25889,0
0c9abe56-cb8f-4181-9ebb-c750e6d1f818,-16.2614381,26.08523401,Washington,,No,Completed,,Other,2,BIL SFA,1.59591E+12,235200,2019,175,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
49c09a26-de9c-4baa-8e0a-da742685a436,-14.19740738,26.51960342,Washington,,Yes,Completed,,Planting,2,WWUI,1.60593E+12,13764,2019,37,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
9038d8fd-996c-4916-a510-36ee64401592,-18.56465262,13.44785022,California,Fillmore East,No,Completed,,N/A,0,0,,,,136,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
49f24a73-9194-4732-917a-f77430f2158c,-18.38435383,12.31164605,California,Right of Way-CMS,No,Completed,,N/A,0,0,,,,38,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
ae05f4d2-658a-4bb3-bafc-0bb645c84545,-18.38534373,16.01689277,California,Black Mountain Fuel Reduction,No,Completed,,N/A,0,0,,,,4,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
36d63b30-477d-4f73-bb43-430288558a74,-19.63982135,20.60740158,California,East Fork Scott Underburn,No,Completed,,N/A,0,0,,,,0,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
cf757a1e-0be4-4e0d-9a14-a72c69eb1801,-20.50083972,20.65046872,California,SOD - 20-40 Year Old Stands 7,No,Completed,,N/A,0,0,,,,107,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
1b9ea26e-c2d1-4651-b4ec-e0e32355bd7c,-13.86161458,26.1545644,Idaho,,No,Completed,,Other,2,WWUI,1.62295E+12,1759.322631,2017,1.35124626014871,683b8420-09e9-4315-b874-2eb8aab25889,0
1754fc4b-a9dc-41e8-8c1b-d911cd65bd27,-11.34847996,19.50157274,Idaho,,Yes,Completed,,Other,2,BIL SFA,1.64965E+12,374.6080225,2022,0.656056081493728,683b8420-09e9-4315-b874-2eb8aab25889,0
147e7df5-8417-4bc3-b665-f7a67cc39568,-14.16358322,22.56161668,Idaho,,No,Completed,,Chemical,2,WRR,1.67998E+12,1641.072255,2021,1.67970548102631,683b8420-09e9-4315-b874-2eb8aab25889,0
b626dfb9-3bb7-48c3-8a53-7286c9bfb4f0,-14.54523616,26.5749031,Washington,,Yes,Completed,,Mechanical,2,Unknown,1.5585E+12,,2015,154,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
077af8fa-3b78-48c7-ad43-aedd17764e12,-14.19757049,25.85556236,Washington,,Yes,Completed,,Mechanical,2,HFR,1.5337E+12,3108,2018,4,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
e871fac8-afa8-41f0-af14-ef586c1e73ca,-10.82393294,21.20359189,Idaho,,Yes,Completed,,Chemical,2,WRR,1.66953E+12,1108.298251,2020,3.37895808141359,683b8420-09e9-4315-b874-2eb8aab25889,0
